[run number],number-strategies,memory-size,overcrowding-threshold,avg-attendance,attendance
1,10,10,40,48.88059701,46
1,10,10,40,49.02941176,59
1,10,10,40,49.04347826,50
1,10,10,40,48.97142857,44
1,10,10,40,48.98591549,50
1,10,10,40,49.01388889,51
1,10,10,40,48.94520548,44
1,10,10,40,48.91891892,47
1,10,10,40,49.04,58
1,10,10,40,48.98684211,45
1,10,10,40,48.94805195,46
1,10,10,40,48.79487179,37
1,10,10,40,48.87341772,55
1,10,10,40,48.825,45
1,10,10,40,48.82716049,49
1,10,10,40,48.73170732,41
1,10,10,40,48.84337349,58
1,10,10,40,48.80952381,46
1,10,10,40,48.77647059,46
1,10,10,40,48.84883721,55
1,10,10,40,48.94252874,57
1,10,10,40,48.90909091,46
1,10,10,40,48.79775281,39
1,10,10,40,48.8,49
1,10,10,40,48.83516484,52
1,10,10,40,48.77173913,43
1,10,10,40,48.66666667,39
1,10,10,40,48.76595745,58
1,10,10,40,48.72631579,45
1,10,10,40,48.76041667,52
1,10,10,40,48.69072165,42
1,10,10,40,48.7755102,57
1,10,10,40,48.76767677,48
1,10,10,40,48.78,50
1,10,10,40,48.71287129,42
1,10,10,40,48.79411765,57
1,10,10,40,48.76699029,46
1,10,10,40,48.70192308,42
1,10,10,40,48.71428571,50
1,10,10,40,48.74528302,52
1,10,10,40,48.72897196,47
1,10,10,40,48.66666667,42
1,10,10,40,48.68807339,51
1,10,10,40,48.73636364,54
1,10,10,40,48.74774775,50
1,10,10,40,48.67857143,41
1,10,10,40,48.71681416,53
1,10,10,40,48.72807018,50
1,10,10,40,48.67826087,43
1,10,10,40,48.6637931,47
1,10,10,40,48.72649573,56
1,10,10,40,48.66949153,42
1,10,10,40,48.65546218,47
1,10,10,40,48.59166667,41
1,10,10,40,48.67768595,59
1,10,10,40,48.6557377,46
1,10,10,40,48.6504065,48
1,10,10,40,48.62096774,45
1,10,10,40,48.696,58
1,10,10,40,48.65873016,44
1,10,10,40,48.62992126,45
1,10,10,40,48.65625,52
1,10,10,40,48.68992248,53
1,10,10,40,48.70769231,51
1,10,10,40,48.58778626,33
1,10,10,40,48.63636364,55
1,10,10,40,48.63909774,49
1,10,10,40,48.61940299,46
1,10,10,40,48.6,46
1,10,10,40,48.68382353,60
1,10,10,40,48.62773723,41
1,10,10,40,48.65217391,52
1,10,10,40,48.61151079,43
1,10,10,40,48.68571429,59
1,10,10,40,48.70212766,51
1,10,10,40,48.65492958,42
1,10,10,40,48.65034965,48
1,10,10,40,48.65972222,50
1,10,10,40,48.66896552,50
1,10,10,40,48.61643836,41
1,10,10,40,48.68027211,58
1,10,10,40,48.64864865,44
1,10,10,40,48.65771812,50
1,10,10,40,48.58,37
1,10,10,40,48.62913907,56
1,10,10,40,48.625,48
1,10,10,40,48.61437908,47
1,10,10,40,48.6038961,47
1,10,10,40,48.65806452,57
1,10,10,40,48.6474359,47
1,10,10,40,48.62420382,45
1,10,10,40,48.65822785,54
1,10,10,40,48.6918239,54
1,10,10,40,48.675,46
1,10,10,40,48.60248447,37
1,10,10,40,48.61728395,51
1,10,10,40,48.60736196,47
1,10,10,40,48.59756098,47
1,10,10,40,48.54545455,40
1,10,10,40,48.61445783,60
1,10,10,40,48.60479042,47
1,10,10,40,48.64285714,55
1,10,10,40,48.59763314,41
1,10,10,40,48.66470588,60
1,10,10,40,48.64912281,46
1,10,10,40,48.62209302,44
1,10,10,40,48.62427746,49
1,10,10,40,48.64942529,53
1,10,10,40,48.62857143,45
1,10,10,40,48.57386364,39
1,10,10,40,48.61581921,56
1,10,10,40,48.62921348,51
1,10,10,40,48.64804469,52
1,10,10,40,48.58888889,38
1,10,10,40,48.62983425,56
1,10,10,40,48.63736264,50
1,10,10,40,48.65027322,51
1,10,10,40,48.61413043,42
1,10,10,40,48.67027027,59
1,10,10,40,48.62365591,40
1,10,10,40,48.60962567,46
1,10,10,40,48.58510638,44
1,10,10,40,48.61375661,54
1,10,10,40,48.63157895,52
1,10,10,40,48.58115183,39
1,10,10,40,48.609375,54
1,10,10,40,48.64248705,55
1,10,10,40,48.62371134,45
1,10,10,40,48.60512821,45
1,10,10,40,48.66326531,60
1,10,10,40,48.64974619,46
1,10,10,40,48.65656566,50
1,10,10,40,48.60301508,38
1,10,10,40,48.61,50
1,10,10,40,48.61691542,50
1,10,10,40,48.57920792,41
1,10,10,40,48.58128079,49
1,10,10,40,48.60784314,54
1,10,10,40,48.60487805,48
1,10,10,40,48.60679612,49
1,10,10,40,48.61835749,51
1,10,10,40,48.64423077,54
1,10,10,40,48.65550239,51
1,10,10,40,48.63333333,44
1,10,10,40,48.60663507,43
1,10,10,40,48.62735849,53
1,10,10,40,48.57276995,37
1,10,10,40,48.55607477,45
1,10,10,40,48.57209302,52
1,10,10,40,48.5787037,50
1,10,10,40,48.57142857,47
1,10,10,40,48.56422018,47
1,10,10,40,48.5890411,54
1,10,10,40,48.61363636,54
1,10,10,40,48.61538462,49
1,10,10,40,48.5990991,45
1,10,10,40,48.61883408,53
1,10,10,40,48.58482143,41
1,10,10,40,48.56444444,44
1,10,10,40,48.55752212,47
1,10,10,40,48.58590308,55
1,10,10,40,48.53947368,38
1,10,10,40,48.54585153,50
1,10,10,40,48.53478261,46
1,10,10,40,48.56709957,56
1,10,10,40,48.56896552,49
1,10,10,40,48.57081545,49
1,10,10,40,48.57692308,50
1,10,10,40,48.5787234,49
1,10,10,40,48.54237288,40
1,10,10,40,48.53586498,47
1,10,10,40,48.56302521,55
1,10,10,40,48.54811715,45
1,10,10,40,48.54166667,47
1,10,10,40,48.50207469,39
1,10,10,40,48.54132231,58
1,10,10,40,48.5308642,46
1,10,10,40,48.54098361,51
1,10,10,40,48.53061224,46
1,10,10,40,48.58536585,62
1,10,10,40,48.5465587,39
1,10,10,40,48.54032258,47
1,10,10,40,48.54216867,49
1,10,10,40,48.576,57
1,10,10,40,48.55776892,44
1,10,10,40,48.51190476,37
1,10,10,40,48.52964427,53
1,10,10,40,48.53937008,51
1,10,10,40,48.5372549,48
1,10,10,40,48.51171875,42
1,10,10,40,48.55252918,59
1,10,10,40,48.53488372,44
1,10,10,40,48.55212355,53
1,10,10,40,48.51923077,40
1,10,10,40,48.56704981,61
1,10,10,40,48.55725191,46
1,10,10,40,48.56653992,51
1,10,10,40,48.53787879,41
1,10,10,40,48.5509434,52
1,10,10,40,48.55263158,49
1,10,10,40,48.51685393,39
1,10,10,40,48.54850746,57
1,10,10,40,48.56133829,52
1,10,10,40,48.54814815,45
1,10,10,40,48.5202952,41
1,10,10,40,48.55147059,57
1,10,10,40,48.54945055,48
1,10,10,40,48.5729927,55
1,10,10,40,48.52363636,35
1,10,10,40,48.55434783,57
1,10,10,40,48.5631769,51
1,10,10,40,48.54676259,44
1,10,10,40,48.53763441,46
1,10,10,40,48.55357143,53
1,10,10,40,48.56227758,51
1,10,10,40,48.53900709,42
1,10,10,40,48.54770318,51
1,10,10,40,48.57042254,55
1,10,10,40,48.57192982,49
1,10,10,40,48.54545455,41
1,10,10,40,48.54703833,49
1,10,10,40,48.56597222,54
1,10,10,40,48.5467128,43
1,10,10,40,48.54482759,48
1,10,10,40,48.5532646,51
1,10,10,40,48.56164384,51
1,10,10,40,48.54266212,43
1,10,10,40,48.53061224,45
1,10,10,40,48.54576271,53
1,10,10,40,48.55743243,52
1,10,10,40,48.53198653,41
1,10,10,40,48.51677852,44
1,10,10,40,48.53846154,55
1,10,10,40,48.51666667,42
1,10,10,40,48.5282392,52
1,10,10,40,48.50662252,42
1,10,10,40,48.54125413,59
1,10,10,40,48.52631579,44
1,10,10,40,48.52459016,48
1,10,10,40,48.52287582,48
1,10,10,40,48.56351792,61
1,10,10,40,48.54545455,43
1,10,10,40,48.53398058,45
1,10,10,40,48.52580645,46
1,10,10,40,48.53054662,50
1,10,10,40,48.53846154,51
1,10,10,40,48.50159744,37
1,10,10,40,48.52866242,57
1,10,10,40,48.52698413,48
1,10,10,40,48.5221519,47
1,10,10,40,48.51104101,45
1,10,10,40,48.5408805,58
1,10,10,40,48.53291536,46
1,10,10,40,48.553125,55
1,10,10,40,48.52336449,39
1,10,10,40,48.55590062,59
1,10,10,40,48.54798762,46
1,10,10,40,48.52160494,40
1,10,10,40,48.53538462,53
1,10,10,40,48.53374233,48
1,10,10,40,48.5382263,50
1,10,10,40,48.51219512,40
1,10,10,40,48.54407295,59
1,10,10,40,48.54545455,49
1,10,10,40,48.57099698,57
1,10,10,40,48.52710843,34
1,10,10,40,48.55855856,59
1,10,10,40,48.55688623,48
1,10,10,40,48.54626866,45
1,10,10,40,48.53869048,46
1,10,10,40,48.56083086,56
1,10,10,40,48.55029586,45
1,10,10,40,48.53687316,44
1,10,10,40,48.54411765,51
1,10,10,40,48.5542522,52
1,10,10,40,48.57017544,54
1,10,10,40,48.53061224,35
1,10,10,40,48.5494186,55
1,10,10,40,48.55942029,52
1,10,10,40,48.54624277,44
1,10,10,40,48.53025937,43
1,10,10,40,48.55172414,56
1,10,10,40,48.53868195,44
1,10,10,40,48.54571429,51
1,10,10,40,48.53276353,44
1,10,10,40,48.55113636,55
1,10,10,40,48.55524079,50
1,10,10,40,48.53389831,41
1,10,10,40,48.54366197,52
1,10,10,40,48.54775281,50
1,10,10,40,48.54341737,47
1,10,10,40,48.52513966,42
1,10,10,40,48.54317549,55
1,10,10,40,48.53611111,46
1,10,10,40,48.55124654,54
1,10,10,40,48.51381215,35
1,10,10,40,48.54269972,59
1,10,10,40,48.5467033,50
1,10,10,40,48.53972603,46
1,10,10,40,48.53278689,46
1,10,10,40,48.53405995,49
1,10,10,40,48.54076087,51
1,10,10,40,48.52303523,42
1,10,10,40,48.52972973,51
1,10,10,40,48.54447439,54
1,10,10,40,48.55645161,53
1,10,10,40,48.5227882,36
1,10,10,40,48.54010695,55
1,10,10,40,48.54133333,49
1,10,10,40,48.53989362,48
1,10,10,40,48.53580902,47
1,10,10,40,48.52910053,46
1,10,10,40,48.53298153,50
1,10,10,40,48.53947368,51
1,10,10,40,48.51968504,41
1,10,10,40,48.53403141,54
1,10,10,40,48.55091384,55
1,10,10,40,48.53125,41
1,10,10,40,48.52467532,46
1,10,10,40,48.52590674,49
1,10,10,40,48.53488372,52
1,10,10,40,48.53350515,48
1,10,10,40,48.5218509,44
1,10,10,40,48.52307692,49
1,10,10,40,48.53452685,53
1,10,10,40,48.5127551,40
1,10,10,40,48.51908397,51
1,10,10,40,48.53299492,54
1,10,10,40,48.53164557,48
1,10,10,40,48.51767677,43
1,10,10,40,48.50629723,44
1,10,10,40,48.51507538,52
1,10,10,40,48.51378446,48
1,10,10,40,48.505,45
1,10,10,40,48.49875312,46
1,10,10,40,48.52487562,59
1,10,10,40,48.49875931,38
1,10,10,40,48.5049505,51
1,10,10,40,48.5037037,48
1,10,10,40,48.52955665,59
1,10,10,40,48.51597052,43
