number-strategies,avg-attendance
5.0,45.8244898
5.0,45.85772358
5.0,45.84210526
5.0,45.84677419
5.0,45.81526104
5.0,45.804
5.0,45.812749
5.0,45.84126984
5.0,45.84189723
5.0,45.84251969
5.0,45.81568627
5.0,45.79296875
5.0,45.79766537
5.0,45.82170543
5.0,45.84169884
5.0,45.83461538
5.0,45.81992337
5.0,45.78625954
5.0,45.79087452
5.0,45.81439394
5.0,45.84528302
5.0,45.83082707
5.0,45.82397004
5.0,45.79104478
5.0,45.79553903
5.0,45.82222222
5.0,45.84870849
5.0,45.82720588
5.0,45.82783883
5.0,45.79562044
5.0,45.81454545
5.0,45.82608696
5.0,45.86281588
5.0,45.82733813
5.0,45.83512545
5.0,45.80714286
5.0,45.8113879
5.0,45.82624113
5.0,45.84805654
5.0,45.83450704
5.0,45.83508772
5.0,45.81818182
5.0,45.80487805
5.0,45.81597222
5.0,45.83391003
5.0,45.83103448
5.0,45.83161512
5.0,45.81164384
5.0,45.79180887
5.0,45.79931973
5.0,45.81355932
5.0,45.8277027
5.0,45.82154882
5.0,45.80872483
5.0,45.77926421
5.0,45.78666667
5.0,45.80066445
5.0,45.82781457
5.0,45.81518152
5.0,45.80921053
5.0,45.78688525
5.0,45.79084967
5.0,45.80456026
5.0,45.83116883
5.0,45.81877023
5.0,45.81290323
5.0,45.79099678
5.0,45.79166667
5.0,45.80830671
5.0,45.83121019
5.0,45.81587302
5.0,45.8164557
5.0,45.79810726
5.0,45.79559748
5.0,45.80564263
5.0,45.83125
5.0,45.81308411
5.0,45.81677019
5.0,45.78947368
5.0,45.79012346
5.0,45.80307692
5.0,45.83128834
5.0,45.81039755
5.0,45.81402439
5.0,45.78723404
5.0,45.79090909
5.0,45.79758308
5.0,45.8253012
5.0,45.80780781
5.0,45.81137725
5.0,45.7880597
5.0,45.78571429
5.0,45.79525223
5.0,45.81952663
5.0,45.80825959
5.0,45.81176471
5.0,45.7888563
5.0,45.78070175
5.0,45.78717201
5.0,45.80813953
5.0,45.80869565
5.0,45.80924855
5.0,45.78962536
5.0,45.77298851
5.0,45.7765043
5.0,45.79428571
5.0,45.80911681
5.0,45.80397727
5.0,45.79320113
5.0,45.76836158
5.0,45.77183099
5.0,45.78932584
5.0,45.81232493
5.0,45.80167598
5.0,45.79665738
