[run number],avg-attendance
1.0,45.88965517
1.0,45.88356164
1.0,45.9047619
1.0,45.96621622
1.0,45.9261745
1.0,45.93333333
1.0,45.87417219
1.0,45.86842105
1.0,45.88888889
1.0,45.94155844
1.0,45.91612903
1.0,45.92307692
1.0,45.87261146
1.0,45.84810127
1.0,45.85534591
1.0,45.90625
1.0,45.91304348
1.0,45.91358025
1.0,45.87116564
1.0,45.83536585
1.0,45.84242424
1.0,45.87951807
1.0,45.91017964
1.0,45.89880952
1.0,45.87573964
1.0,45.82352941
1.0,45.83040936
1.0,45.86627907
1.0,45.9132948
1.0,45.8908046
1.0,45.88
1.0,45.82954545
1.0,45.83615819
1.0,45.87640449
1.0,45.91620112
1.0,45.88333333
1.0,45.8839779
1.0,45.83516484
1.0,45.86338798
1.0,45.88043478
1.0,45.93513514
1.0,45.88172043
1.0,45.89304813
1.0,45.85106383
1.0,45.85714286
1.0,45.87894737
1.0,45.91099476
1.0,45.890625
1.0,45.89119171
1.0,45.86597938
1.0,45.84615385
1.0,45.8622449
1.0,45.88832487
1.0,45.88383838
1.0,45.88442211
1.0,45.855
1.0,45.82587065
1.0,45.83663366
1.0,45.85714286
1.0,45.87745098
1.0,45.86829268
1.0,45.84951456
1.0,45.80676329
1.0,45.81730769
1.0,45.83732057
1.0,45.87619048
1.0,45.85781991
1.0,45.8490566
1.0,45.81690141
1.0,45.82242991
1.0,45.84186047
1.0,45.87962963
1.0,45.86175115
1.0,45.85321101
1.0,45.82191781
1.0,45.82272727
1.0,45.84615385
1.0,45.87837838
1.0,45.85650224
1.0,45.85714286
1.0,45.83111111
1.0,45.82743363
1.0,45.84140969
1.0,45.87719298
1.0,45.85152838
1.0,45.85652174
1.0,45.81818182
1.0,45.81896552
1.0,45.83690987
1.0,45.87606838
1.0,45.84680851
1.0,45.85169492
1.0,45.81434599
1.0,45.81932773
1.0,45.82845188
1.0,45.86666667
1.0,45.84232365
1.0,45.84710744
1.0,45.81481481
1.0,45.81147541
1.0,45.8244898
1.0,45.85772358
1.0,45.84210526
1.0,45.84677419
1.0,45.81526104
1.0,45.804
1.0,45.812749
1.0,45.84126984
1.0,45.84189723
1.0,45.84251969
1.0,45.81568627
1.0,45.79296875
1.0,45.79766537
1.0,45.82170543
1.0,45.84169884
1.0,45.83461538
1.0,45.81992337
1.0,45.78625954
1.0,45.79087452
1.0,45.81439394
1.0,45.84528302
1.0,45.83082707
1.0,45.82397004
1.0,45.79104478
1.0,45.79553903
1.0,45.82222222
1.0,45.84870849
1.0,45.82720588
1.0,45.82783883
1.0,45.79562044
1.0,45.81454545
1.0,45.82608696
1.0,45.86281588
1.0,45.82733813
1.0,45.83512545
1.0,45.80714286
1.0,45.8113879
1.0,45.82624113
1.0,45.84805654
1.0,45.83450704
1.0,45.83508772
1.0,45.81818182
1.0,45.80487805
1.0,45.81597222
1.0,45.83391003
1.0,45.83103448
1.0,45.83161512
1.0,45.81164384
1.0,45.79180887
1.0,45.79931973
1.0,45.81355932
1.0,45.8277027
1.0,45.82154882
1.0,45.80872483
1.0,45.77926421
1.0,45.78666667
1.0,45.80066445
1.0,45.82781457
1.0,45.81518152
1.0,45.80921053
1.0,45.78688525
1.0,45.79084967
1.0,45.80456026
1.0,45.83116883
1.0,45.81877023
1.0,45.81290323
1.0,45.79099678
1.0,45.79166667
1.0,45.80830671
1.0,45.83121019
1.0,45.81587302
1.0,45.8164557
1.0,45.79810726
1.0,45.79559748
1.0,45.80564263
1.0,45.83125
1.0,45.81308411
1.0,45.81677019
1.0,45.78947368
1.0,45.79012346
1.0,45.80307692
1.0,45.83128834
1.0,45.81039755
1.0,45.81402439
1.0,45.78723404
1.0,45.79090909
1.0,45.79758308
1.0,45.8253012
1.0,45.80780781
1.0,45.81137725
1.0,45.7880597
1.0,45.78571429
1.0,45.79525223
1.0,45.81952663
1.0,45.80825959
1.0,45.81176471
1.0,45.7888563
1.0,45.78070175
1.0,45.78717201
1.0,45.80813953
1.0,45.80869565
1.0,45.80924855
1.0,45.78962536
1.0,45.77298851
1.0,45.7765043
1.0,45.79428571
1.0,45.80911681
1.0,45.80397727
1.0,45.79320113
1.0,45.76836158
1.0,45.77183099
1.0,45.78932584
1.0,45.81232493
1.0,45.80167598
1.0,45.79665738
1.0,45.77222222
1.0,45.77562327
1.0,45.79558011
1.0,45.815427
1.0,45.79945055
1.0,45.8
1.0,45.77595628
1.0,45.79019074
1.0,45.79891304
1.0,45.82655827
1.0,45.8
1.0,45.80592992
1.0,45.78494624
1.0,45.78820375
1.0,45.79946524
1.0,45.816
1.0,45.80585106
1.0,45.80636605
1.0,45.79365079
1.0,45.78364116
1.0,45.79210526
1.0,45.80577428
1.0,45.80366492
1.0,45.80417755
1.0,45.7890625
1.0,45.77402597
1.0,45.77979275
1.0,45.79069767
1.0,45.80154639
1.0,45.79691517
1.0,45.78717949
1.0,45.76470588
1.0,45.77040816
1.0,45.78117048
1.0,45.80203046
1.0,45.79240506
1.0,45.78787879
1.0,45.77078086
1.0,45.77386935
1.0,45.78446115
1.0,45.805
1.0,45.79551122
1.0,45.79104478
1.0,45.77419355
1.0,45.77475248
1.0,45.78765432
1.0,45.80541872
1.0,45.79361179
1.0,45.79411765
1.0,45.7799511
1.0,45.77804878
1.0,45.78588808
1.0,45.80582524
1.0,45.79176755
1.0,45.79468599
1.0,45.77349398
1.0,45.77403846
1.0,45.78417266
1.0,45.8062201
1.0,45.78997613
1.0,45.79285714
1.0,45.7719715
1.0,45.77488152
1.0,45.78014184
1.0,45.80188679
1.0,45.78823529
1.0,45.79107981
1.0,45.77283372
1.0,45.77102804
1.0,45.77855478
1.0,45.79767442
1.0,45.78886311
1.0,45.79166667
1.0,45.77367206
1.0,45.76728111
1.0,45.77241379
1.0,45.78899083
1.0,45.78947368
1.0,45.78995434
1.0,45.77448747
1.0,45.76136364
1.0,45.76417234
1.0,45.77828054
1.0,45.79006772
1.0,45.78603604
1.0,45.77752809
1.0,45.75784753
1.0,45.7606264
1.0,45.77455357
1.0,45.79287305
1.0,45.78444444
1.0,45.7804878
1.0,45.76106195
1.0,45.76379691
1.0,45.77973568
1.0,45.7956044
1.0,45.78289474
1.0,45.7833698
1.0,45.76419214
1.0,45.77559913
1.0,45.7826087
1.0,45.80477223
1.0,45.78354978
1.0,45.78833693
1.0,45.77155172
1.0,45.77419355
1.0,45.7832618
1.0,45.79657388
1.0,45.78846154
1.0,45.78891258
1.0,45.7787234
1.0,45.77070064
1.0,45.77754237
1.0,45.78858351
1.0,45.78691983
1.0,45.78736842
1.0,45.77521008
1.0,45.76310273
1.0,45.76778243
1.0,45.77661795
1.0,45.78541667
1.0,45.78170478
1.0,45.77385892
1.0,45.75569358
1.0,45.76033058
1.0,45.76907216
1.0,45.78600823
1.0,45.77823409
1.0,45.77459016
1.0,45.7607362
1.0,45.76326531
1.0,45.77189409
1.0,45.78861789
1.0,45.78093306
1.0,45.77732794
1.0,45.76363636
1.0,45.7641129
1.0,45.77464789
1.0,45.78915663
1.0,45.77955912
2.0,0.0
2.0,0.0
2.0,74.0
2.0,60.5
2.0,54.66666667
2.0,49.5
2.0,48.8
2.0,50.16666667
2.0,52.0
2.0,52.0
2.0,51.66666667
2.0,50.9
2.0,50.09090909
2.0,50.58333333
2.0,50.76923077
2.0,51.42857143
2.0,51.33333333
2.0,51.5
2.0,50.82352941
2.0,51.0
2.0,51.05263158
2.0,51.4
2.0,51.47619048
2.0,51.63636364
2.0,51.13043478
2.0,51.25
2.0,51.12
2.0,51.38461538
2.0,51.48148148
2.0,51.60714286
2.0,51.34482759
2.0,51.4
2.0,51.25806452
2.0,51.46875
2.0,51.51515152
2.0,51.70588235
2.0,51.4
2.0,51.55555556
2.0,51.35135135
2.0,51.52631579
2.0,51.56410256
2.0,51.7
2.0,51.51219512
2.0,51.64285714
2.0,51.37209302
2.0,51.45454545
2.0,51.51111111
2.0,51.60869565
2.0,51.55319149
2.0,51.625
2.0,51.42857143
2.0,51.52
2.0,51.47058824
2.0,51.61538462
2.0,51.62264151
2.0,51.72222222
2.0,51.50909091
2.0,51.60714286
2.0,51.56140351
2.0,51.67241379
2.0,51.71186441
2.0,51.78333333
2.0,51.62295082
2.0,51.64516129
2.0,51.58730159
2.0,51.65625
2.0,51.69230769
2.0,51.78787879
2.0,51.65671642
2.0,51.69117647
2.0,51.60869565
2.0,51.68571429
2.0,51.69014085
2.0,51.79166667
2.0,51.68493151
2.0,51.72972973
2.0,51.64
2.0,51.73684211
2.0,51.72727273
2.0,51.80769231
2.0,51.72151899
2.0,51.775
2.0,51.67901235
2.0,51.7804878
2.0,51.74698795
2.0,51.79761905
2.0,51.74117647
2.0,51.79069767
2.0,51.70114943
2.0,51.80681818
2.0,51.76404494
