attendance,avg-attendance
59.0,51.83478261
41.0,51.78787879
57.0,51.81034483
49.0,51.79828326
55.0,51.81196581
51.0,51.80851064
59.0,51.83898305
42.0,51.79746835
53.0,51.80252101
49.0,51.79079498
54.0,51.8
52.0,51.80082988
57.0,51.82231405
47.0,51.80246914
55.0,51.81557377
46.0,51.79183673
58.0,51.81707317
50.0,51.8097166
58.0,51.83467742
46.0,51.81124498
55.0,51.824
47.0,51.80478088
56.0,51.82142857
48.0,51.80632411
57.0,51.82677165
48.0,51.81176471
54.0,51.8203125
46.0,51.79766537
58.0,51.82170543
50.0,51.81467181
54.0,51.82307692
50.0,51.81609195
53.0,51.82061069
48.0,51.80608365
55.0,51.81818182
50.0,51.81132075
54.0,51.81954887
49.0,51.80898876
54.0,51.81716418
49.0,51.80669145
54.0,51.81481481
51.0,51.81180812
54.0,51.81985294
51.0,51.81684982
51.0,51.81386861
52.0,51.81454545
52.0,51.81521739
54.0,51.82310469
52.0,51.82374101
50.0,51.8172043
51.0,51.81428571
53.0,51.81850534
52.0,51.81914894
55.0,51.83038869
51.0,51.82746479
51.0,51.8245614
50.0,51.81818182
52.0,51.81881533
53.0,51.82291667
53.0,51.82698962
53.0,51.83103448
52.0,51.83161512
50.0,51.82534247
53.0,51.82935154
51.0,51.82653061
54.0,51.83389831
50.0,51.8277027
53.0,51.83164983
49.0,51.82214765
54.0,51.82943144
50.0,51.82333333
53.0,51.82724252
51.0,51.82450331
54.0,51.83168317
51.0,51.82894737
51.0,51.82622951
52.0,51.82679739
52.0,51.82736156
54.0,51.83441558
52.0,51.83495146
50.0,51.82903226
51.0,51.82636656
53.0,51.83012821
52.0,51.83067093
55.0,51.84076433
51.0,51.83809524
51.0,51.83544304
50.0,51.829653
52.0,51.83018868
53.0,51.8338558
53.0,51.8375
53.0,51.8411215
52.0,51.84161491
50.0,51.83591331
53.0,51.83950617
51.0,51.83692308
54.0,51.84355828
50.0,51.83792049
53.0,51.84146341
49.0,51.83282675
54.0,51.83939394
50.0,51.83383686
53.0,51.8373494
51.0,51.83483483
54.0,51.84131737
51.0,51.83880597
51.0,51.83630952
52.0,51.83679525
52.0,51.83727811
54.0,51.84365782
52.0,51.84411765
50.0,51.83870968
51.0,51.83625731
