std,[run number]
2.143246135,1.0
6.336764616,1.0
6.342369984,1.0
0.021427478,1.0
4.891264953,1.0
0.058046079,1.0
2.163222968,1.0
6.358761716,1.0
4.918779288,1.0
0.732726592,1.0
5.590721961,1.0
0.065659915,1.0
2.171469761,1.0
6.368940656,1.0
4.910189047,1.0
0.741480027,1.0
6.285935455,1.0
0.62477243,1.0
2.188663847,1.0
6.387849773,1.0
4.190438173,1.0
0.754247233,1.0
6.27498733,1.0
0.614066415,1.0
2.199887764,1.0
5.698178672,1.0
2.769121395,1.0
0.761499611,1.0
5.566776953,1.0
2.7210185,1.0
0.809392668,1.0
5.72314551,1.0
0.768594327,1.0
0.061107993,1.0
4.858647822,1.0
4.126226766,1.0
0.818529668,1.0
4.327834275,1.0
3.599046491,1.0
1.34266109,1.0
2.740561785,1.0
6.239177481,1.0
0.827025475,1.0
4.337195664,1.0
5.718164086,1.0
2.751214315,1.0
1.329360749,1.0
6.243431466,1.0
0.822960435,1.0
5.037142688,1.0
5.009002227,1.0
4.160144896,1.0
0.082040013,1.0
6.247404968,1.0
3.632133193,1.0
2.20586572,1.0
7.116934198,1.0
6.987431526,1.0
1.489839956,1.0
5.551540474,1.0
0.808122036,1.0
2.914024261,1.0
4.305576893,1.0
2.751087321,1.0
0.07693908,1.0
3.440767018,1.0
2.719641466,1.0
2.21872791,1.0
3.614500145,1.0
0.624968115,1.0
0.081725909,1.0
4.140110204,1.0
4.119512641,1.0
1.529731007,1.0
2.929442379,1.0
2.915082368,1.0
1.321082425,1.0
2.722017852,1.0
6.227322039,1.0
1.543396532,1.0
2.94345885,1.0
5.744400803,1.0
2.727890616,1.0
1.307480463,1.0
4.820277213,1.0
0.832667798,1.0
2.940248662,1.0
5.741968955,1.0
2.730670427,1.0
1.310418072,1.0
4.823824343,1.0
0.125350748,1.0
3.644319565,1.0
5.035746942,1.0
3.434065668,1.0
0.101015254,1.0
4.123218209,1.0
0.58508393,1.0
2.233460626,1.0
5.743691924,1.0
4.137655401,1.0
0.808561232,1.0
6.235396161,1.0
0.12801071,1.0
2.943749261,1.0
6.451593922,1.0
4.841424727,1.0
0.811974312,1.0
6.232683822,1.0
0.834861368,1.0
1.535516399,1.0
6.458241935,1.0
4.131146672,1.0
0.815218149,1.0
5.525908549,1.0
0.573799765,1.0
2.245424799,1.0
5.757458873,1.0
2.716778686,1.0
0.815453788,1.0
5.526224081,1.0
1.982727414,1.0
1.546620011,1.0
5.06198664,1.0
0.111795539,1.0
0.111355399,1.0
4.819417983,1.0
4.096247486,1.0
0.85017897,1.0
4.368713989,1.0
3.647469728,1.0
1.297268979,1.0
2.70109372,1.0
6.212823703,1.0
0.854980823,1.0
4.373883991,1.0
5.766255676,1.0
2.708803797,1.0
1.289741582,1.0
6.216207375,1.0
0.851682517,1.0
5.075455341,1.0
5.056726723,1.0
4.120456795,1.0
0.121736332,1.0
6.219442856,1.0
3.666670073,1.0
2.244295436,1.0
7.16807163,1.0
6.948977432,1.0
1.530797476,1.0
5.520483656,1.0
0.840475676,1.0
2.951293197,1.0
4.35008094,1.0
2.711405932,1.0
0.116610592,1.0
3.406969037,1.0
2.69045507,1.0
2.251447633,1.0
3.652977247,1.0
0.587630118,1.0
0.11906609,1.0
4.109452766,1.0
4.09542733,1.0
1.556115944,1.0
2.960260592,1.0
2.950259712,1.0
1.288029524,1.0
2.693175157,1.0
6.20787726,1.0
1.565063009,1.0
2.969378643,1.0
5.778607735,1.0
2.697740723,1.0
1.279305032,1.0
4.799052581,1.0
0.854998396,1.0
2.96662389,1.0
5.776235914,1.0
2.700278323,1.0
1.281916165,1.0
4.801959877,1.0
0.147313913,1.0
3.671081532,1.0
5.069099887,1.0
3.405336467,1.0
0.129785422,1.0
4.099880958,1.0
0.562572376,1.0
2.258751756,1.0
5.776178519,1.0
4.110471195,1.0
0.836669825,1.0
6.215096445,1.0
0.148405127,1.0
2.967672768,1.0
6.483258187,1.0
4.815678293,1.0
0.838611396,1.0
6.213512779,1.0
0.854956381,1.0
1.557343938,1.0
6.487491733,1.0
4.106740285,1.0
0.84048321,1.0
5.506989827,1.0
0.5555839,1.0
2.266098883,1.0
5.784468195,1.0
2.692846179,1.0
0.840209234,1.0
5.507553111,1.0
1.966253067,1.0
1.564705676,1.0
5.085413304,1.0
0.135272602,1.0
0.13488164,1.0
4.800990134,1.0
4.08211932,1.0
0.865142108,1.0
4.388102654,1.0
3.670508705,1.0
1.275604563,1.0
2.682198244,1.0
6.200167934,1.0
0.868446638,1.0
4.391609812,1.0
5.789560564,1.0
2.688190864,1.0
1.270428618,1.0
6.202897819,1.0
0.865765089,1.0
5.094294158,1.0
5.08026029,1.0
4.100830811,1.0
