avg-attendance,attendance
45.7888563,38.0
45.78070175,43.0
45.78717201,48.0
45.80813953,53.0
45.80869565,46.0
45.80924855,46.0
45.78962536,39.0
45.77298851,40.0
45.7765043,47.0
45.79428571,52.0
45.80911681,51.0
45.80397727,44.0
45.79320113,42.0
45.76836158,37.0
45.77183099,47.0
45.78932584,52.0
45.81232493,54.0
45.80167598,42.0
45.79665738,44.0
45.77222222,37.0
45.77562327,47.0
45.79558011,53.0
45.815427,53.0
45.79945055,40.0
45.8,46.0
45.77595628,37.0
45.79019074,51.0
45.79891304,49.0
45.82655827,56.0
45.8,36.0
45.80592992,48.0
45.78494624,38.0
45.78820375,47.0
45.79946524,50.0
45.816,52.0
45.80585106,42.0
45.80636605,46.0
45.79365079,41.0
45.78364116,42.0
45.79210526,49.0
45.80577428,51.0
45.80366492,45.0
45.80417755,46.0
45.7890625,40.0
45.77402597,40.0
45.77979275,48.0
45.79069767,50.0
45.80154639,50.0
45.79691517,44.0
45.78717949,42.0
45.76470588,37.0
45.77040816,48.0
45.78117048,50.0
45.80203046,54.0
45.79240506,42.0
45.78787879,44.0
45.77078086,39.0
45.77386935,47.0
45.78446115,50.0
45.805,54.0
45.79551122,42.0
45.79104478,44.0
45.77419355,39.0
45.77475248,46.0
45.78765432,51.0
45.80541872,53.0
45.79361179,41.0
45.79411765,46.0
45.7799511,40.0
45.77804878,45.0
45.78588808,49.0
45.80582524,54.0
45.79176755,40.0
45.79468599,47.0
45.77349398,37.0
45.77403846,46.0
45.78417266,50.0
45.8062201,55.0
45.78997613,39.0
45.79285714,47.0
45.7719715,37.0
45.77488152,47.0
45.78014184,48.0
45.80188679,55.0
45.78823529,40.0
45.79107981,47.0
45.77283372,38.0
45.77102804,45.0
45.77855478,49.0
45.79767442,54.0
45.78886311,42.0
45.79166667,47.0
45.77367206,38.0
45.76728111,43.0
45.77241379,48.0
45.78899083,53.0
45.78947368,46.0
45.78995434,46.0
45.77448747,39.0
45.76136364,40.0
45.76417234,47.0
45.77828054,52.0
45.79006772,51.0
45.78603604,44.0
45.77752809,42.0
45.75784753,37.0
45.7606264,47.0
45.77455357,52.0
45.79287305,54.0
45.78444444,42.0
45.7804878,44.0
45.76106195,37.0
45.76379691,47.0
45.77973568,53.0
45.7956044,53.0
45.78289474,40.0
45.7833698,46.0
45.76419214,37.0
45.77559913,51.0
45.7826087,49.0
45.80477223,56.0
45.78354978,36.0
45.78833693,48.0
45.77155172,38.0
45.77419355,47.0
45.7832618,50.0
45.79657388,52.0
45.78846154,42.0
45.78891258,46.0
45.7787234,41.0
45.77070064,42.0
45.77754237,49.0
45.78858351,51.0
45.78691983,45.0
45.78736842,46.0
45.77521008,40.0
45.76310273,40.0
45.76778243,48.0
45.77661795,50.0
45.78541667,50.0
45.78170478,44.0
45.77385892,42.0
45.75569358,37.0
45.76033058,48.0
45.76907216,50.0
45.78600823,54.0
45.77823409,42.0
45.77459016,44.0
45.7607362,39.0
45.76326531,47.0
45.77189409,50.0
45.78861789,54.0
45.78093306,42.0
45.77732794,44.0
45.76363636,39.0
45.7641129,46.0
45.77464789,51.0
45.78915663,53.0
45.77955912,41.0
0.0,74.0
0.0,60.0
74.0,74.0
60.5,47.0
54.66666667,43.0
49.5,34.0
48.8,46.0
50.16666667,57.0
52.0,63.0
52.0,52.0
51.66666667,49.0
50.9,44.0
50.09090909,42.0
50.58333333,56.0
50.76923077,53.0
51.42857143,60.0
51.33333333,50.0
51.5,54.0
50.82352941,40.0
51.0,54.0
51.05263158,52.0
51.4,58.0
51.47619048,53.0
51.63636364,55.0
51.13043478,40.0
51.25,54.0
51.12,48.0
51.38461538,58.0
51.48148148,54.0
51.60714286,55.0
51.34482759,44.0
51.4,53.0
51.25806452,47.0
51.46875,58.0
51.51515152,53.0
51.70588235,58.0
51.4,41.0
51.55555556,57.0
51.35135135,44.0
51.52631579,58.0
51.56410256,53.0
51.7,57.0
51.51219512,44.0
51.64285714,57.0
51.37209302,40.0
51.45454545,55.0
51.51111111,54.0
51.60869565,56.0
51.55319149,49.0
51.625,55.0
51.42857143,42.0
51.52,56.0
51.47058824,49.0
51.61538462,59.0
51.62264151,52.0
51.72222222,57.0
51.50909091,40.0
51.60714286,57.0
51.56140351,49.0
51.67241379,58.0
51.71186441,54.0
51.78333333,56.0
51.62295082,42.0
51.64516129,53.0
51.58730159,48.0
51.65625,56.0
51.69230769,54.0
51.78787879,58.0
51.65671642,43.0
51.69117647,54.0
51.60869565,46.0
51.68571429,57.0
51.69014085,52.0
51.79166667,59.0
51.68493151,44.0
51.72972973,55.0
51.64,45.0
51.73684211,59.0
51.72727273,51.0
51.80769231,58.0
51.72151899,45.0
51.775,56.0
51.67901235,44.0
51.7804878,60.0
51.74698795,49.0
51.79761905,56.0
51.74117647,47.0
51.79069767,56.0
51.70114943,44.0
51.80681818,61.0
51.76404494,48.0
51.78888889,54.0
51.73626374,47.0
51.79347826,57.0
51.7311828,46.0
51.77659574,56.0
51.73684211,48.0
51.79166667,57.0
51.74226804,47.0
51.7755102,55.0
51.72727273,47.0
51.79,58.0
51.75247525,48.0
51.78431373,55.0
51.73786408,47.0
51.79807692,58.0
51.75238095,47.0
