number-strategies,std
5.0,4.131146672
5.0,0.815218149
5.0,5.525908549
5.0,0.573799765
5.0,2.245424799
5.0,5.757458873
5.0,2.716778686
5.0,0.815453788
5.0,5.526224081
5.0,1.982727414
5.0,1.546620011
5.0,5.06198664
5.0,0.111795539
5.0,0.111355399
5.0,4.819417983
5.0,4.096247486
5.0,0.85017897
5.0,4.368713989
5.0,3.647469728
5.0,1.297268979
5.0,2.70109372
5.0,6.212823703
5.0,0.854980823
5.0,4.373883991
5.0,5.766255676
5.0,2.708803797
5.0,1.289741582
5.0,6.216207375
5.0,0.851682517
5.0,5.075455341
5.0,5.056726723
5.0,4.120456795
5.0,0.121736332
5.0,6.219442856
5.0,3.666670073
5.0,2.244295436
5.0,7.16807163
5.0,6.948977432
5.0,1.530797476
5.0,5.520483656
5.0,0.840475676
5.0,2.951293197
5.0,4.35008094
5.0,2.711405932
5.0,0.116610592
5.0,3.406969037
5.0,2.69045507
5.0,2.251447633
5.0,3.652977247
5.0,0.587630118
5.0,0.11906609
5.0,4.109452766
5.0,4.09542733
5.0,1.556115944
5.0,2.960260592
5.0,2.950259712
5.0,1.288029524
5.0,2.693175157
5.0,6.20787726
5.0,1.565063009
5.0,2.969378643
5.0,5.778607735
5.0,2.697740723
5.0,1.279305032
5.0,4.799052581
5.0,0.854998396
5.0,2.96662389
5.0,5.776235914
5.0,2.700278323
5.0,1.281916165
5.0,4.801959877
5.0,0.147313913
5.0,3.671081532
5.0,5.069099887
5.0,3.405336467
5.0,0.129785422
5.0,4.099880958
5.0,0.562572376
5.0,2.258751756
5.0,5.776178519
5.0,4.110471195
5.0,0.836669825
5.0,6.215096445
5.0,0.148405127
5.0,2.967672768
5.0,6.483258187
5.0,4.815678293
5.0,0.838611396
5.0,6.213512779
5.0,0.854956381
5.0,1.557343938
5.0,6.487491733
5.0,4.106740285
5.0,0.84048321
5.0,5.506989827
5.0,0.5555839
5.0,2.266098883
5.0,5.784468195
5.0,2.692846179
5.0,0.840209234
5.0,5.507553111
5.0,1.966253067
5.0,1.564705676
5.0,5.085413304
5.0,0.135272602
5.0,0.13488164
5.0,4.800990134
5.0,4.08211932
5.0,0.865142108
5.0,4.388102654
5.0,3.670508705
5.0,1.275604563
5.0,2.682198244
5.0,6.200167934
5.0,0.868446638
