std,overcrowding-threshold
6.239177481,40.0
0.827025475,40.0
4.337195664,40.0
5.718164086,40.0
2.751214315,40.0
1.329360749,40.0
6.243431466,40.0
0.822960435,40.0
5.037142688,40.0
5.009002227,40.0
4.160144896,40.0
0.082040013,40.0
6.247404968,40.0
3.632133193,40.0
2.20586572,40.0
7.116934198,40.0
6.987431526,40.0
1.489839956,40.0
5.551540474,40.0
0.808122036,40.0
2.914024261,40.0
4.305576893,40.0
2.751087321,40.0
0.07693908,40.0
3.440767018,40.0
2.719641466,40.0
2.21872791,40.0
3.614500145,40.0
0.624968115,40.0
0.081725909,40.0
4.140110204,40.0
4.119512641,40.0
1.529731007,40.0
2.929442379,40.0
2.915082368,40.0
1.321082425,40.0
2.722017852,40.0
6.227322039,40.0
1.543396532,40.0
2.94345885,40.0
5.744400803,40.0
2.727890616,40.0
1.307480463,40.0
4.820277213,40.0
0.832667798,40.0
2.940248662,40.0
5.741968955,40.0
2.730670427,40.0
1.310418072,40.0
4.823824343,40.0
0.125350748,40.0
3.644319565,40.0
5.035746942,40.0
3.434065668,40.0
0.101015254,40.0
4.123218209,40.0
0.58508393,40.0
2.233460626,40.0
5.743691924,40.0
4.137655401,40.0
0.808561232,40.0
6.235396161,40.0
0.12801071,40.0
2.943749261,40.0
6.451593922,40.0
4.841424727,40.0
0.811974312,40.0
6.232683822,40.0
0.834861368,40.0
1.535516399,40.0
6.458241935,40.0
4.131146672,40.0
0.815218149,40.0
5.525908549,40.0
0.573799765,40.0
2.245424799,40.0
5.757458873,40.0
2.716778686,40.0
0.815453788,40.0
5.526224081,40.0
1.982727414,40.0
1.546620011,40.0
5.06198664,40.0
0.111795539,40.0
0.111355399,40.0
4.819417983,40.0
4.096247486,40.0
0.85017897,40.0
4.368713989,40.0
3.647469728,40.0
1.297268979,40.0
2.70109372,40.0
6.212823703,40.0
0.854980823,40.0
4.373883991,40.0
5.766255676,40.0
2.708803797,40.0
1.289741582,40.0
6.216207375,40.0
0.851682517,40.0
5.075455341,40.0
5.056726723,40.0
4.120456795,40.0
0.121736332,40.0
6.219442856,40.0
3.666670073,40.0
2.244295436,40.0
7.16807163,40.0
6.948977432,40.0
1.530797476,40.0
5.520483656,40.0
0.840475676,40.0
2.951293197,40.0
4.35008094,40.0
2.711405932,40.0
0.116610592,40.0
3.406969037,40.0
2.69045507,40.0
2.251447633,40.0
3.652977247,40.0
0.587630118,40.0
0.11906609,40.0
4.109452766,40.0
4.09542733,40.0
1.556115944,40.0
2.960260592,40.0
2.950259712,40.0
1.288029524,40.0
2.693175157,40.0
6.20787726,40.0
1.565063009,40.0
2.969378643,40.0
5.778607735,40.0
2.697740723,40.0
1.279305032,40.0
4.799052581,40.0
0.854998396,40.0
2.96662389,40.0
5.776235914,40.0
2.700278323,40.0
1.281916165,40.0
4.801959877,40.0
0.147313913,40.0
3.671081532,40.0
5.069099887,40.0
3.405336467,40.0
0.129785422,40.0
4.099880958,40.0
0.562572376,40.0
2.258751756,40.0
5.776178519,40.0
4.110471195,40.0
0.836669825,40.0
6.215096445,40.0
0.148405127,40.0
2.967672768,40.0
6.483258187,40.0
4.815678293,40.0
0.838611396,40.0
6.213512779,40.0
0.854956381,40.0
1.557343938,40.0
6.487491733,40.0
4.106740285,40.0
0.84048321,40.0
5.506989827,40.0
0.5555839,40.0
2.266098883,40.0
5.784468195,40.0
2.692846179,40.0
0.840209234,40.0
5.507553111,40.0
1.966253067,40.0
1.564705676,40.0
5.085413304,40.0
0.135272602,40.0
0.13488164,40.0
4.800990134,40.0
4.08211932,40.0
0.865142108,40.0
4.388102654,40.0
3.670508705,40.0
1.275604563,40.0
2.682198244,40.0
6.200167934,40.0
0.868446638,40.0
4.391609812,40.0
5.789560564,40.0
2.688190864,40.0
1.270428618,40.0
6.202897819,40.0
0.865765089,40.0
5.094294158,40.0
5.08026029,40.0
4.100830811,40.0
0.141421356,40.0
6.2055382,40.0
3.683891459,40.0
2.263510294,40.0
7.193709638,40.0
6.929646456,40.0
1.551441833,40.0
5.504788275,40.0
0.856869343,40.0
2.970226613,40.0
4.372748335,40.0
2.691143095,40.0
0.136919881,40.0
3.389622983,40.0
2.675438322,40.0
2.268324122,40.0
3.672872231,40.0
0.568276916,40.0
0.138467385,40.0
4.09348535,40.0
4.082852921,40.0
1.569923605,40.0
2.976426218,40.0
2.968755017,40.0
1.2706109,40.0
2.677940297,40.0
6.197582965,40.0
1.576559507,40.0
2.98316296,40.0
5.796839856,40.0
2.681635337,40.0
1.264221215,40.0
4.787665058,40.0
0.8670053,40.0
2.980836105,40.0
5.794740072,40.0
2.683831723,40.0
1.266459907,40.0
4.790078195,40.0
0.159274052,40.0
3.685684976,40.0
5.087337211,40.0
3.389595406,40.0
