avg-attendance,overcrowding-threshold
45.9132948,40.0
45.8908046,40.0
45.88,40.0
45.82954545,40.0
45.83615819,40.0
45.87640449,40.0
45.91620112,40.0
45.88333333,40.0
45.8839779,40.0
45.83516484,40.0
45.86338798,40.0
45.88043478,40.0
45.93513514,40.0
45.88172043,40.0
45.89304813,40.0
45.85106383,40.0
45.85714286,40.0
45.87894737,40.0
45.91099476,40.0
45.890625,40.0
45.89119171,40.0
45.86597938,40.0
45.84615385,40.0
45.8622449,40.0
45.88832487,40.0
45.88383838,40.0
45.88442211,40.0
45.855,40.0
45.82587065,40.0
45.83663366,40.0
45.85714286,40.0
45.87745098,40.0
45.86829268,40.0
45.84951456,40.0
45.80676329,40.0
45.81730769,40.0
45.83732057,40.0
45.87619048,40.0
45.85781991,40.0
45.8490566,40.0
45.81690141,40.0
45.82242991,40.0
45.84186047,40.0
45.87962963,40.0
45.86175115,40.0
45.85321101,40.0
45.82191781,40.0
45.82272727,40.0
45.84615385,40.0
45.87837838,40.0
45.85650224,40.0
45.85714286,40.0
45.83111111,40.0
45.82743363,40.0
45.84140969,40.0
45.87719298,40.0
45.85152838,40.0
45.85652174,40.0
45.81818182,40.0
45.81896552,40.0
45.83690987,40.0
45.87606838,40.0
45.84680851,40.0
45.85169492,40.0
45.81434599,40.0
45.81932773,40.0
45.82845188,40.0
45.86666667,40.0
45.84232365,40.0
45.84710744,40.0
45.81481481,40.0
45.81147541,40.0
45.8244898,40.0
45.85772358,40.0
45.84210526,40.0
45.84677419,40.0
45.81526104,40.0
45.804,40.0
45.812749,40.0
45.84126984,40.0
45.84189723,40.0
45.84251969,40.0
45.81568627,40.0
45.79296875,40.0
45.79766537,40.0
45.82170543,40.0
45.84169884,40.0
45.83461538,40.0
45.81992337,40.0
45.78625954,40.0
45.79087452,40.0
45.81439394,40.0
45.84528302,40.0
45.83082707,40.0
45.82397004,40.0
45.79104478,40.0
45.79553903,40.0
45.82222222,40.0
45.84870849,40.0
45.82720588,40.0
45.82783883,40.0
45.79562044,40.0
45.81454545,40.0
45.82608696,40.0
45.86281588,40.0
45.82733813,40.0
45.83512545,40.0
45.80714286,40.0
45.8113879,40.0
45.82624113,40.0
45.84805654,40.0
45.83450704,40.0
45.83508772,40.0
45.81818182,40.0
45.80487805,40.0
45.81597222,40.0
45.83391003,40.0
45.83103448,40.0
45.83161512,40.0
45.81164384,40.0
45.79180887,40.0
45.79931973,40.0
45.81355932,40.0
45.8277027,40.0
45.82154882,40.0
45.80872483,40.0
45.77926421,40.0
45.78666667,40.0
45.80066445,40.0
45.82781457,40.0
45.81518152,40.0
45.80921053,40.0
45.78688525,40.0
45.79084967,40.0
45.80456026,40.0
45.83116883,40.0
45.81877023,40.0
45.81290323,40.0
45.79099678,40.0
45.79166667,40.0
45.80830671,40.0
45.83121019,40.0
45.81587302,40.0
45.8164557,40.0
45.79810726,40.0
45.79559748,40.0
45.80564263,40.0
45.83125,40.0
45.81308411,40.0
45.81677019,40.0
45.78947368,40.0
45.79012346,40.0
45.80307692,40.0
45.83128834,40.0
45.81039755,40.0
45.81402439,40.0
45.78723404,40.0
45.79090909,40.0
45.79758308,40.0
45.8253012,40.0
45.80780781,40.0
45.81137725,40.0
45.7880597,40.0
45.78571429,40.0
45.79525223,40.0
45.81952663,40.0
45.80825959,40.0
45.81176471,40.0
45.7888563,40.0
45.78070175,40.0
45.78717201,40.0
45.80813953,40.0
45.80869565,40.0
45.80924855,40.0
45.78962536,40.0
45.77298851,40.0
45.7765043,40.0
45.79428571,40.0
45.80911681,40.0
45.80397727,40.0
45.79320113,40.0
45.76836158,40.0
45.77183099,40.0
45.78932584,40.0
45.81232493,40.0
45.80167598,40.0
45.79665738,40.0
45.77222222,40.0
45.77562327,40.0
45.79558011,40.0
45.815427,40.0
45.79945055,40.0
45.8,40.0
45.77595628,40.0
45.79019074,40.0
45.79891304,40.0
45.82655827,40.0
45.8,40.0
45.80592992,40.0
45.78494624,40.0
45.78820375,40.0
45.79946524,40.0
45.816,40.0
45.80585106,40.0
45.80636605,40.0
45.79365079,40.0
45.78364116,40.0
45.79210526,40.0
45.80577428,40.0
45.80366492,40.0
45.80417755,40.0
45.7890625,40.0
45.77402597,40.0
45.77979275,40.0
45.79069767,40.0
45.80154639,40.0
45.79691517,40.0
45.78717949,40.0
45.76470588,40.0
45.77040816,40.0
45.78117048,40.0
45.80203046,40.0
45.79240506,40.0
45.78787879,40.0
45.77078086,40.0
45.77386935,40.0
45.78446115,40.0
45.805,40.0
45.79551122,40.0
45.79104478,40.0
45.77419355,40.0
45.77475248,40.0
45.78765432,40.0
45.80541872,40.0
45.79361179,40.0
45.79411765,40.0
45.7799511,40.0
45.77804878,40.0
45.78588808,40.0
45.80582524,40.0
45.79176755,40.0
45.79468599,40.0
45.77349398,40.0
45.77403846,40.0
45.78417266,40.0
45.8062201,40.0
45.78997613,40.0
45.79285714,40.0
45.7719715,40.0
45.77488152,40.0
45.78014184,40.0
45.80188679,40.0
45.78823529,40.0
45.79107981,40.0
45.77283372,40.0
45.77102804,40.0
45.77855478,40.0
45.79767442,40.0
45.78886311,40.0
45.79166667,40.0
45.77367206,40.0
45.76728111,40.0
45.77241379,40.0
45.78899083,40.0
45.78947368,40.0
45.78995434,40.0
45.77448747,40.0
45.76136364,40.0
45.76417234,40.0
45.77828054,40.0
45.79006772,40.0
45.78603604,40.0
45.77752809,40.0
45.75784753,40.0
45.7606264,40.0
45.77455357,40.0
45.79287305,40.0
45.78444444,40.0
45.7804878,40.0
45.76106195,40.0
45.76379691,40.0
45.77973568,40.0
45.7956044,40.0
45.78289474,40.0
45.7833698,40.0
45.76419214,40.0
45.77559913,40.0
45.7826087,40.0
45.80477223,40.0
45.78354978,40.0
45.78833693,40.0
45.77155172,40.0
45.77419355,40.0
45.7832618,40.0
45.79657388,40.0
45.78846154,40.0
45.78891258,40.0
45.7787234,40.0
45.77070064,40.0
45.77754237,40.0
45.78858351,40.0
45.78691983,40.0
45.78736842,40.0
45.77521008,40.0
45.76310273,40.0
45.76778243,40.0
