attendance,std
46.0,4.052558219
56.0,2.986397789
48.0,2.642346393
57.0,3.682847819
47.0,3.35328989
55.0,2.280058601
47.0,3.342686602
58.0,4.391133111
48.0,2.653400694
55.0,2.273833571
47.0,3.350175818
58.0,4.385421864
47.0,3.360440798
54.0,1.574313211
48.0,2.643389836
58.0,4.386680957
47.0,3.360379015
56.0,2.976276724
48.0,2.656428178
56.0,2.973636553
47.0,3.360321606
57.0,3.6781958
48.0,2.66241075
55.0,2.267618298
47.0,3.360268123
59.0,5.081580936
47.0,3.375097914
55.0,2.2627417
47.0,3.366062033
58.0,4.375947703
47.0,3.374566509
55.0,2.263882195
49.0,1.962928425
56.0,2.963114131
46.0,4.075607589
58.0,4.375223209
48.0,2.674946583
55.0,2.257302417
47.0,3.373601055
60.0,5.77470538
46.0,4.093776102
54.0,1.551413386
47.0,3.373161238
58.0,4.372623551
46.0,4.082638423
55.0,2.264791285
47.0,3.367659634
59.0,5.081067299
47.0,3.380070713
54.0,1.558622694
46.0,4.069572594
58.0,4.385044136
47.0,3.369729557
57.0,3.675986623
48.0,2.669688868
56.0,2.966981832
45.0,4.778902877
59.0,5.086454779
48.0,2.673893855
54.0,1.55842613
48.0,2.666670672
59.0,5.078312338
46.0,4.087533393
54.0,1.559261107
46.0,4.071493823
58.0,4.385852187
50.0,1.263008339
58.0,4.366384374
45.0,4.796028603
55.0,2.260995757
46.0,4.077793707
60.0,5.786203051
50.0,1.277077702
55.0,2.244851046
46.0,4.094444655
54.0,1.553109537
46.0,4.079462199
61.0,6.48874458
51.0,0.578917833
53.0,0.830439359
46.0,4.095497079
52.0,0.146297955
48.0,2.666802718
58.0,4.379240861
51.0,0.567283406
57.0,3.654709206
44.0,5.506742195
56.0,2.961991739
44.0,5.492774223
59.0,5.085729542
49.0,1.974489427
56.0,2.95908816
48.0,2.68318357
57.0,3.660988335
42.0,6.908471065
55.0,2.271768595
51.0,0.553713247
56.0,2.966126866
51.0,0.566425851
59.0,5.063915751
41.0,7.624296433
55.0,2.263470676
52.0,0.141421356
52.0,0.140699819
51.0,0.5635318
59.0,5.067598599
43.0,6.214722414
52.0,0.148492424
51.0,0.555835181
54.0,1.557735236
51.0,0.560808826
58.0,4.367424237
45.0,4.801427509
50.0,1.259748489
48.0,2.66104436
56.0,2.981406957
50.0,1.255199119
57.0,3.676955262
47.0,3.378026708
56.0,2.971849727
42.0,6.895121054
59.0,5.101742384
49.0,1.960165775
57.0,3.679574176
50.0,1.264319959
57.0,3.668521879
41.0,7.610277092
56.0,2.982704968
50.0,1.254234653
58.0,4.382787977
53.0,0.843454726
56.0,2.951539466
43.0,6.213111584
54.0,1.558137951
48.0,2.672676732
57.0,3.675094455
52.0,0.138951114
59.0,5.066573806
41.0,7.628182246
57.0,3.669640364
49.0,1.97868507
55.0,2.254280593
51.0,0.571703355
59.0,5.063603645
42.0,6.927856312
53.0,0.846745515
49.0,1.973390055
54.0,1.555634919
52.0,0.140834546
57.0,3.661176846
47.0,3.395858492
55.0,2.251729381
46.0,4.095447031
58.0,4.371989489
50.0,1.279662879
58.0,4.359541405
46.0,4.109170732
55.0,2.245771137
47.0,3.39749314
56.0,2.954696193
48.0,2.69147759
57.0,3.658024844
48.0,2.695324672
54.0,1.541271812
46.0,4.099568498
58.0,4.368713989
50.0,1.283166746
54.0,1.53931707
50.0,1.284170936
53.0,0.833954181
48.0,2.691307559
55.0,2.249885213
50.0,1.280797189
54.0,1.541811779
49.0,1.986255003
54.0,1.543498011
49.0,1.984630557
54.0,1.545159263
51.0,0.574035025
54.0,1.541596769
51.0,0.577600045
51.0,0.575492015
52.0,0.131136167
52.0,0.130661036
54.0,1.539297433
52.0,0.124633929
50.0,1.284957484
51.0,0.57578695
53.0,0.835442887
52.0,0.127881014
55.0,2.241253649
51.0,0.585105963
51.0,0.58305296
50.0,1.285648693
52.0,0.128116908
53.0,0.832323607
53.0,0.829443595
53.0,0.826583444
52.0,0.11906609
50.0,1.290712036
53.0,0.827773467
51.0,0.584445401
54.0,1.531665197
50.0,1.292380975
53.0,0.826148327
49.0,1.995559742
54.0,1.534823749
50.0,1.289291364
53.0,0.829264763
51.0,0.583011883
54.0,1.533231535
51.0,0.586154305
51.0,0.584232488
52.0,0.122472743
52.0,0.122073809
54.0,1.531299425
