avg-attendance,std
45.95192308,1.448209081
45.99047619,2.835161475
46.0754717,6.310594481
46.00934579,4.956355943
45.99074074,1.407666277
45.9266055,4.897849723
45.95454545,2.153461561
46.00900901,4.236270356
46.07142857,4.899239841
46.00884956,4.95600505
45.99122807,1.408010871
45.92173913,5.601515458
45.96551724,3.559916898
46.0,2.828427125
46.05084746,4.206686105
46.0,4.242640687
45.98333333,1.402428449
45.90909091,6.299678596
45.95901639,4.271620473
45.99186992,2.83417596
46.04032258,4.214128317
45.976,5.639883687
45.98412698,0.718330698
45.91338583,6.302715561
45.9453125,2.867097027
45.96899225,2.143246135
46.03846154,6.336764616
45.96946565,6.342369984
45.96969697,0.021427478
45.91729323,4.891264953
45.91791045,0.058046079
45.94074074,2.163222968
46.00735294,6.358761716
45.95620438,4.918779288
45.96376812,0.732726592
45.90647482,5.590721961
45.90714286,0.065659915
45.92907801,2.171469761
45.99295775,6.368940656
45.94405594,4.910189047
45.95138889,0.741480027
45.88965517,6.285935455
45.88356164,0.62477243
45.9047619,2.188663847
45.96621622,6.387849773
45.9261745,4.190438173
45.93333333,0.754247233
45.87417219,6.27498733
45.86842105,0.614066415
45.88888889,2.199887764
45.94155844,5.698178672
45.91612903,2.769121395
45.92307692,0.761499611
45.87261146,5.566776953
45.84810127,2.7210185
45.85534591,0.809392668
45.90625,5.72314551
45.91304348,0.768594327
45.91358025,0.061107993
45.87116564,4.858647822
45.83536585,4.126226766
45.84242424,0.818529668
45.87951807,4.327834275
45.91017964,3.599046491
45.89880952,1.34266109
45.87573964,2.740561785
45.82352941,6.239177481
45.83040936,0.827025475
45.86627907,4.337195664
45.9132948,5.718164086
45.8908046,2.751214315
45.88,1.329360749
45.82954545,6.243431466
45.83615819,0.822960435
45.87640449,5.037142688
45.91620112,5.009002227
45.88333333,4.160144896
45.8839779,0.082040013
45.83516484,6.247404968
45.86338798,3.632133193
45.88043478,2.20586572
45.93513514,7.116934198
45.88172043,6.987431526
45.89304813,1.489839956
45.85106383,5.551540474
45.85714286,0.808122036
45.87894737,2.914024261
45.91099476,4.305576893
45.890625,2.751087321
45.89119171,0.07693908
45.86597938,3.440767018
45.84615385,2.719641466
45.8622449,2.21872791
45.88832487,3.614500145
45.88383838,0.624968115
45.88442211,0.081725909
45.855,4.140110204
45.82587065,4.119512641
45.83663366,1.529731007
45.85714286,2.929442379
45.87745098,2.915082368
45.86829268,1.321082425
45.84951456,2.722017852
45.80676329,6.227322039
45.81730769,1.543396532
45.83732057,2.94345885
45.87619048,5.744400803
45.85781991,2.727890616
45.8490566,1.307480463
45.81690141,4.820277213
45.82242991,0.832667798
45.84186047,2.940248662
45.87962963,5.741968955
45.86175115,2.730670427
45.85321101,1.310418072
45.82191781,4.823824343
45.82272727,0.125350748
45.84615385,3.644319565
45.87837838,5.035746942
45.85650224,3.434065668
45.85714286,0.101015254
45.83111111,4.123218209
45.82743363,0.58508393
45.84140969,2.233460626
45.87719298,5.743691924
45.85152838,4.137655401
45.85652174,0.808561232
45.81818182,6.235396161
45.81896552,0.12801071
45.83690987,2.943749261
45.87606838,6.451593922
45.84680851,4.841424727
45.85169492,0.811974312
45.81434599,6.232683822
45.81932773,0.834861368
45.82845188,1.535516399
45.86666667,6.458241935
45.84232365,4.131146672
45.84710744,0.815218149
45.81481481,5.525908549
45.81147541,0.573799765
45.8244898,2.245424799
45.85772358,5.757458873
45.84210526,2.716778686
45.84677419,0.815453788
45.81526104,5.526224081
45.804,1.982727414
45.812749,1.546620011
45.84126984,5.06198664
45.84189723,0.111795539
45.84251969,0.111355399
45.81568627,4.819417983
45.79296875,4.096247486
